SCHOOL_YEAR,AGENCY_TYPE,CHARTER_IND,CESA,COUNTY,DISTRICT_CODE,SCHOOL_CODE,GRADE_GROUP,DISTRICT_NAME,SCHOOL_NAME,COHORT,COMPLETION_STATUS,GROUP_BY,GROUP_BY_VALUE,TIMEFRAME,COHORT_COUNT,STUDENT_COUNT,grad_rate
2018-19,Public school,No,10.0,Clark,7,40.0,High School,Abbotsford,Abbotsford Middle/Senior High,2019,Completed - Regular High School Diploma,All Students,All Students,4-Year rate,64,63,0.984375
2018-19,Public school,No,5.0,Adams,14,40.0,High School,Adams-Friendship Area,Adams-Friendship High,2019,Completed - Regular High School Diploma,All Students,All Students,4-Year rate,134,124,0.9253731343283582
2018-19,Public school,No,2.0,Green,63,40.0,High School,Albany,Albany High,2019,Completed - Regular High School Diploma,All Students,All Students,4-Year rate,25,23,0.92
2018-19,Public school,No,7.0,Kewaunee,70,40.0,High School,Algoma,Algoma High,2019,Completed - Regular High School Diploma,All Students,All Students,4-Year rate,59,57,0.9661016949152542
2018-19,Public school,No,4.0,Jackson,91,60.0,High School,Alma Center,Lincoln High,2019,Completed - Regular High School Diploma,All Students,All Students,4-Year rate,37,33,0.8918918918918919
2018-19,Public school,No,5.0,Portage,105,40.0,High School,Almond-Bancroft,Almond-Bancroft High,2019,Completed - Regular High School Diploma,All Students,All Students,4-Year rate,31,31,1.0
2018-19,Public school,No,10.0,Eau Claire,112,40.0,High School,Altoona,Altoona High,2019,Completed - Regular High School Diploma,All Students,All Students,4-Year rate,100,94,0.94
2018-19,Public school,No,11.0,Polk,119,40.0,High School,Amery,Amery High,2019,Completed - Regular High School Diploma,All Students,All Students,4-Year rate,121,117,0.9669421487603306
2018-19,Public school,No,9.0,Langlade,140,70.0,High School,Antigo Unified,Antigo High,2019,Completed - Regular High School Diploma,All Students,All Students,4-Year rate,177,155,0.8757062146892656
2018-19,Public school,No,6.0,Outagamie,147,20.0,High School,Appleton Area,East High,2019,Completed - Regular High School Diploma,All Students,All Students,4-Year rate,339,292,0.8613569321533924
2018-19,Public school,No,6.0,Outagamie,147,30.0,High School,Appleton Area,North High,2019,Completed - Regular High School Diploma,All Students,All Students,4-Year rate,429,386,0.8997668997668997
2018-19,Public school,Yes,6.0,Outagamie,147,420.0,High School,Appleton Area,Renaissance School,2019,Completed - Regular High School Diploma,All Students,All Students,4-Year rate,39,39,1.0
2018-19,Public school,No,6.0,Outagamie,147,40.0,High School,Appleton Area,West High,2019,Completed - Regular High School Diploma,All Students,All Students,4-Year rate,267,215,0.8052434456928839
2018-19,Public school,Yes,6.0,Outagamie,147,850.0,Combined Elementary/Secondary School,Appleton Area,Wisconsin Connections Academy,2019,Completed - Regular High School Diploma,All Students,All Students,4-Year rate,70,60,0.8571428571428571
2018-19,Public school,No,4.0,Trempealeau,154,40.0,High School,Arcadia,Arcadia High,2019,Completed - Regular High School Diploma,All Students,All Students,4-Year rate,93,86,0.9247311827956989
2018-19,Public school,No,1.0,Waukesha,2450,20.0,High School,Arrowhead UHS,Arrowhead High,2019,Completed - Regular High School Diploma,All Students,All Students,4-Year rate,513,506,0.98635477582846
2018-19,Public school,No,12.0,Ashland,170,20.0,High School,Ashland,Ashland High,2019,Completed - Regular High School Diploma,All Students,All Students,4-Year rate,163,144,0.8834355828220859
2018-19,Public school,No,7.0,Brown,182,20.0,High School,Ashwaubenon,Ashwaubenon High,2019,Completed - Regular High School Diploma,All Students,All Students,4-Year rate,245,230,0.9387755102040817
2018-19,Public school,No,9.0,Marathon,196,40.0,High School,Athens,Athens High,2019,Completed - Regular High School Diploma,All Students,All Students,4-Year rate,42,38,0.9047619047619048
2018-19,Public school,No,5.0,Wood,203,60.0,High School,Auburndale,Auburndale High,2019,Completed - Regular High School Diploma,All Students,All Students,4-Year rate,64,63,0.984375
2018-19,Public school,No,10.0,Eau Claire,217,40.0,High School,Augusta,Augusta High,2019,Completed - Regular High School Diploma,All Students,All Students,4-Year rate,44,41,0.9318181818181818
2018-19,Public school,No,11.0,Saint Croix,231,40.0,High School,Baldwin-Woodville Area,Baldwin-Woodville High,2019,Completed - Regular High School Diploma,All Students,All Students,4-Year rate,140,132,0.9428571428571428
2018-19,Public school,No,4.0,La Crosse,245,40.0,High School,Bangor,Bangor Middle/High,2019,Completed - Regular High School Diploma,All Students,All Students,4-Year rate,43,42,0.9767441860465116
2018-19,Public school,No,5.0,Sauk,280,40.0,High School,Baraboo,Baraboo High,2019,Completed - Regular High School Diploma,All Students,All Students,4-Year rate,241,228,0.946058091286307
2018-19,Public school,No,11.0,Barron,308,30.0,High School,Barron Area,Barron High,2019,Completed - Regular High School Diploma,All Students,All Students,4-Year rate,73,71,0.9726027397260274
2018-19,Public school,No,12.0,Bayfield,315,40.0,High School,Bayfield,Bayfield High,2019,Completed - Regular High School Diploma,All Students,All Students,4-Year rate,25,21,0.84
2018-19,Public school,No,6.0,Dodge,336,40.0,High School,Beaver Dam Unified,Beaver Dam High,2019,Completed - Regular High School Diploma,All Students,All Students,4-Year rate,225,213,0.9466666666666667
2018-19,Public school,No,6.0,Dodge,336,850.0,High School,Beaver Dam Unified,Don Smith Learning Academy,2019,Completed - Regular High School Diploma,All Students,All Students,4-Year rate,40,17,0.425
2018-19,Public school,No,2.0,Dane,350,40.0,High School,Belleville,Belleville High,2019,Completed - Regular High School Diploma,All Students,All Students,4-Year rate,66,64,0.9696969696969697
2018-19,Public school,No,3.0,Lafayette,364,40.0,High School,Belmont Community,Belmont High,2019,Completed - Regular High School Diploma,All Students,All Students,4-Year rate,32,32,1.0
2018-19,Public school,No,2.0,Rock,413,421.0,Combined Elementary/Secondary School,Beloit,Beloit Learning Academy,2019,Completed - Regular High School Diploma,All Students,All Students,4-Year rate,151,110,0.7284768211920529
2018-19,Public school,No,2.0,Rock,413,200.0,High School,Beloit,Memorial High,2019,Completed - Regular High School Diploma,All Students,All Students,4-Year rate,345,331,0.9594202898550724
