SCHOOL_YEAR_x,AGENCY_TYPE,CHARTER_IND,CESA,COUNTY,DISTRICT_CODE,SCHOOL_CODE,GRADE_GROUP,DISTRICT_NAME,HIGH_SCHOOL_NAME,COHORT,COMPLETION_STATUS,GROUP_BY,GROUP_BY_VALUE,TIMEFRAME,COHORT_COUNT,STUDENT_COUNT,MIDDLE_SCHOOL_NAME,SCHOOL_YEAR_y,TEST_SUBJECT,Composite_Score,FORWARD_YEAR,EXPECTED_COHORT
2019-20,Public school,No,4.0,Trempealeau,2009,40.0,High School,Galesville-Ettrick-Trempealeau,Galesville-Ettrick-Trempealeau High,2020,Completed - Regular High School Diploma,All Students,All Students,4-Year rate,103,96,Galesville-Ettrick-Trempealeau Middle,2015-16,ELA,2.4545454545454546,2016.0,2020.0
2019-20,Public school,No,4.0,Trempealeau,2009,40.0,High School,Galesville-Ettrick-Trempealeau,Galesville-Ettrick-Trempealeau High,2020,Completed - Regular High School Diploma,All Students,All Students,4-Year rate,103,96,Galesville-Ettrick-Trempealeau Middle,2015-16,Mathematics,2.2954545454545454,2016.0,2020.0
2019-20,Public school,No,4.0,Trempealeau,2009,40.0,High School,Galesville-Ettrick-Trempealeau,Galesville-Ettrick-Trempealeau High,2020,Completed - Regular High School Diploma,All Students,All Students,4-Year rate,103,96,Galesville-Ettrick-Trempealeau Middle,2015-16,Science,2.875,2016.0,2020.0
2019-20,Public school,No,4.0,Trempealeau,2009,40.0,High School,Galesville-Ettrick-Trempealeau,Galesville-Ettrick-Trempealeau High,2020,Completed - Regular High School Diploma,All Students,All Students,4-Year rate,103,96,Galesville-Ettrick-Trempealeau Middle,2015-16,Social Studies,2.8863636363636362,2016.0,2020.0
2019-20,Public school,No,4.0,Trempealeau,2009,40.0,High School,Galesville-Ettrick-Trempealeau,Galesville-Ettrick-Trempealeau High,2020,Completed - Regular High School Diploma,Disability Status,SwoD,4-Year rate,94,90,Galesville-Ettrick-Trempealeau Middle,2015-16,ELA,2.5714285714285716,2016.0,2020.0
2019-20,Public school,No,4.0,Trempealeau,2009,40.0,High School,Galesville-Ettrick-Trempealeau,Galesville-Ettrick-Trempealeau High,2020,Completed - Regular High School Diploma,Disability Status,SwoD,4-Year rate,94,90,Galesville-Ettrick-Trempealeau Middle,2015-16,Mathematics,2.4155844155844157,2016.0,2020.0
2019-20,Public school,No,4.0,Trempealeau,2009,40.0,High School,Galesville-Ettrick-Trempealeau,Galesville-Ettrick-Trempealeau High,2020,Completed - Regular High School Diploma,Disability Status,SwoD,4-Year rate,94,90,Galesville-Ettrick-Trempealeau Middle,2015-16,Science,2.987012987012987,2016.0,2020.0
2019-20,Public school,No,4.0,Trempealeau,2009,40.0,High School,Galesville-Ettrick-Trempealeau,Galesville-Ettrick-Trempealeau High,2020,Completed - Regular High School Diploma,Disability Status,SwoD,4-Year rate,94,90,Galesville-Ettrick-Trempealeau Middle,2015-16,Social Studies,3.012987012987013,2016.0,2020.0
2019-20,Public school,No,4.0,Trempealeau,2009,40.0,High School,Galesville-Ettrick-Trempealeau,Galesville-Ettrick-Trempealeau High,2020,Completed - Regular High School Diploma,Economic Status,Not Econ Disadv,4-Year rate,79,76,Galesville-Ettrick-Trempealeau Middle,2015-16,ELA,2.4696969696969697,2016.0,2020.0
2019-20,Public school,No,4.0,Trempealeau,2009,40.0,High School,Galesville-Ettrick-Trempealeau,Galesville-Ettrick-Trempealeau High,2020,Completed - Regular High School Diploma,Economic Status,Not Econ Disadv,4-Year rate,79,76,Galesville-Ettrick-Trempealeau Middle,2015-16,Mathematics,2.257575757575758,2016.0,2020.0
2019-20,Public school,No,4.0,Trempealeau,2009,40.0,High School,Galesville-Ettrick-Trempealeau,Galesville-Ettrick-Trempealeau High,2020,Completed - Regular High School Diploma,Economic Status,Not Econ Disadv,4-Year rate,79,76,Galesville-Ettrick-Trempealeau Middle,2015-16,Science,2.8636363636363638,2016.0,2020.0
2019-20,Public school,No,4.0,Trempealeau,2009,40.0,High School,Galesville-Ettrick-Trempealeau,Galesville-Ettrick-Trempealeau High,2020,Completed - Regular High School Diploma,Economic Status,Not Econ Disadv,4-Year rate,79,76,Galesville-Ettrick-Trempealeau Middle,2015-16,Social Studies,2.878787878787879,2016.0,2020.0
2019-20,Public school,No,4.0,Trempealeau,2009,40.0,High School,Galesville-Ettrick-Trempealeau,Galesville-Ettrick-Trempealeau High,2020,Completed - Regular High School Diploma,Gender,Female,4-Year rate,49,49,Galesville-Ettrick-Trempealeau Middle,2015-16,ELA,2.7,2016.0,2020.0
2019-20,Public school,No,4.0,Trempealeau,2009,40.0,High School,Galesville-Ettrick-Trempealeau,Galesville-Ettrick-Trempealeau High,2020,Completed - Regular High School Diploma,Gender,Female,4-Year rate,49,49,Galesville-Ettrick-Trempealeau Middle,2015-16,Mathematics,2.4,2016.0,2020.0
2019-20,Public school,No,4.0,Trempealeau,2009,40.0,High School,Galesville-Ettrick-Trempealeau,Galesville-Ettrick-Trempealeau High,2020,Completed - Regular High School Diploma,Gender,Female,4-Year rate,49,49,Galesville-Ettrick-Trempealeau Middle,2015-16,Science,2.875,2016.0,2020.0
2019-20,Public school,No,4.0,Trempealeau,2009,40.0,High School,Galesville-Ettrick-Trempealeau,Galesville-Ettrick-Trempealeau High,2020,Completed - Regular High School Diploma,Gender,Female,4-Year rate,49,49,Galesville-Ettrick-Trempealeau Middle,2015-16,Social Studies,2.925,2016.0,2020.0
2019-20,Public school,No,4.0,Trempealeau,2009,40.0,High School,Galesville-Ettrick-Trempealeau,Galesville-Ettrick-Trempealeau High,2020,Completed - Regular High School Diploma,Gender,Male,4-Year rate,54,47,Galesville-Ettrick-Trempealeau Middle,2015-16,ELA,2.25,2016.0,2020.0
