CESA,DISTRICT_NAME,GROUP_BY,GROUP_BY_VALUE,COHORT,STUDENT_COUNT,EXPECTED_COHORT,TEST_SUBJECT,Composite_Score
2.0,Madison Metropolitan,All Students,All Students,2020,1643,2020.0,ELA,2.044550378440547
2.0,Madison Metropolitan,All Students,All Students,2020,1643,2020.0,Mathematics,1.9588306158860993
2.0,Madison Metropolitan,All Students,All Students,2020,1643,2020.0,Science,2.2200588068450515
2.0,Madison Metropolitan,All Students,All Students,2020,1643,2020.0,Social Studies,2.267299114289218
2.0,Madison Metropolitan,All Students,All Students,2021,1552,2021.0,ELA,2.054208630486967
2.0,Madison Metropolitan,All Students,All Students,2021,1552,2021.0,Mathematics,1.985684150460952
2.0,Madison Metropolitan,All Students,All Students,2021,1552,2021.0,Science,2.23525028143129
2.0,Madison Metropolitan,All Students,All Students,2021,1552,2021.0,Social Studies,2.2898887871662787
2.0,Madison Metropolitan,All Students,All Students,2022,1645,2022.0,ELA,2.0307831971609045
2.0,Madison Metropolitan,All Students,All Students,2022,1645,2022.0,Mathematics,1.977033643803642
2.0,Madison Metropolitan,All Students,All Students,2022,1645,2022.0,Science,2.2753671842197734
2.0,Madison Metropolitan,All Students,All Students,2022,1645,2022.0,Social Studies,2.3455638678820954
2.0,Madison Metropolitan,All Students,All Students,2023,1622,2023.0,ELA,2.000791778620169
2.0,Madison Metropolitan,All Students,All Students,2023,1622,2023.0,Mathematics,1.9618999216824973
2.0,Madison Metropolitan,All Students,All Students,2023,1622,2023.0,Science,2.341079121727118
2.0,Madison Metropolitan,All Students,All Students,2023,1622,2023.0,Social Studies,2.292619814036072
2.0,Madison Metropolitan,All Students,All Students,2025,1583,2025.0,ELA,1.9853191087138893
2.0,Madison Metropolitan,All Students,All Students,2025,1583,2025.0,Mathematics,1.759984572109177
2.0,Madison Metropolitan,All Students,All Students,2025,1583,2025.0,Science,2.2227055518468553
2.0,Madison Metropolitan,All Students,All Students,2025,1583,2025.0,Social Studies,2.2164700482961788
2.0,Madison Metropolitan,Disability Status,SwD,2020,164,2020.0,ELA,1.356633156244018
2.0,Madison Metropolitan,Disability Status,SwD,2020,164,2020.0,Mathematics,1.3600480719122927
2.0,Madison Metropolitan,Disability Status,SwD,2020,164,2020.0,Science,1.528222140178662
2.0,Madison Metropolitan,Disability Status,SwD,2020,164,2020.0,Social Studies,1.5038860512468504
2.0,Madison Metropolitan,Disability Status,SwD,2021,171,2021.0,ELA,1.4324696418024754
2.0,Madison Metropolitan,Disability Status,SwD,2021,171,2021.0,Mathematics,1.4116403811559224
2.0,Madison Metropolitan,Disability Status,SwD,2021,171,2021.0,Science,1.6117904250939405
2.0,Madison Metropolitan,Disability Status,SwD,2021,171,2021.0,Social Studies,1.5757371470143076
2.0,Madison Metropolitan,Disability Status,SwD,2022,152,2022.0,ELA,1.3236500563706446
2.0,Madison Metropolitan,Disability Status,SwD,2022,152,2022.0,Mathematics,1.2881262129301345
2.0,Madison Metropolitan,Disability Status,SwD,2022,152,2022.0,Science,1.4730164567974164
2.0,Madison Metropolitan,Disability Status,SwD,2022,152,2022.0,Social Studies,1.4551835759556349
2.0,Madison Metropolitan,Disability Status,SwD,2023,142,2023.0,ELA,1.339172831267693
2.0,Madison Metropolitan,Disability Status,SwD,2023,142,2023.0,Mathematics,1.3789366951131656
2.0,Madison Metropolitan,Disability Status,SwD,2023,142,2023.0,Science,1.634743447127348
2.0,Madison Metropolitan,Disability Status,SwD,2023,142,2023.0,Social Studies,1.5366957166422408
2.0,Madison Metropolitan,Disability Status,SwD,2025,79,2025.0,ELA,1.392063492063492
2.0,Madison Metropolitan,Disability Status,SwD,2025,79,2025.0,Mathematics,1.2818686868686868
2.0,Madison Metropolitan,Disability Status,SwD,2025,79,2025.0,Science,1.5425
2.0,Madison Metropolitan,Disability Status,SwD,2025,79,2025.0,Social Studies,1.4986111111111111
2.0,Madison Metropolitan,Disability Status,SwoD,2020,1479,2020.0,ELA,2.148090107866643
2.0,Madison Metropolitan,Disability Status,SwoD,2020,1479,2020.0,Mathematics,2.0555882147125857
2.0,Madison Metropolitan,Disability Status,SwoD,2020,1479,2020.0,Science,2.339819277140374
2.0,Madison Metropolitan,Disability Status,SwoD,2020,1479,2020.0,Social Studies,2.3930290791372215
2.0,Madison Metropolitan,Disability Status,SwoD,2021,1381,2021.0,ELA,2.1776870758805362
2.0,Madison Metropolitan,Disability Status,SwoD,2021,1381,2021.0,Mathematics,2.1004029180472683
2.0,Madison Metropolitan,Disability Status,SwoD,2021,1381,2021.0,Science,2.3825430070320124
2.0,Madison Metropolitan,Disability Status,SwoD,2021,1381,2021.0,Social Studies,2.4428195221366176
